InitDuration(ms),Duration(ms),BilledDuration(ms),MaxMemoryUsed(MB)
178.20,34.40,35.00,74.00
146.28,37.40,38.00,74.00
151.05,46.44,47.00,74.00
127.78,51.67,52.00,74.00
148.61,38.47,39.00,74.00
161.28,46.84,47.00,74.00
155.52,43.67,44.00,74.00
167.56,44.20,45.00,74.00
155.74,26.33,27.00,74.00
148.27,36.63,37.00,74.00
146.34,59.37,60.00,74.00
160.84,39.24,40.00,74.00
192.38,58.67,59.00,74.00
158.00,23.54,24.00,74.00
139.22,37.49,38.00,74.00
153.12,42.63,43.00,74.00
167.50,60.06,61.00,74.00
141.78,24.32,25.00,74.00
145.05,25.89,26.00,74.00
168.00,34.29,35.00,74.00
145.04,41.66,42.00,74.00
167.24,30.37,31.00,74.00
142.86,30.17,31.00,74.00
135.19,24.98,25.00,74.00
146.68,42.02,43.00,74.00
208.67,25.01,26.00,74.00
139.17,31.90,32.00,74.00
141.23,37.05,38.00,74.00
146.09,41.38,42.00,74.00
138.73,29.08,30.00,74.00
155.88,34.79,35.00,74.00
134.59,41.31,42.00,74.00
150.37,41.76,42.00,74.00
150.98,34.14,35.00,74.00
170.26,40.98,41.00,74.00
228.05,24.41,25.00,74.00
162.01,29.98,30.00,74.00
232.24,54.73,55.00,74.00
136.46,40.84,41.00,74.00
159.75,42.45,43.00,74.00
282.74,57.90,58.00,74.00
152.10,59.48,60.00,74.00
162.42,44.41,45.00,74.00
157.16,32.17,33.00,74.00
196.78,33.76,34.00,74.00
164.28,38.34,39.00,74.00
242.00,43.24,44.00,74.00
165.65,33.29,34.00,74.00
