InitDuration(ms),Duration(ms),BilledDuration(ms),MaxMemoryUsed(MB)
13.47,13.08,27.00,14.00
5.97,14.45,21.00,14.00
5.19,5.28,11.00,14.00
5.12,6.76,12.00,14.00
5.62,18.55,25.00,14.00
7.71,17.97,26.00,14.00
5.50,11.41,17.00,14.00
6.05,19.35,26.00,14.00
7.34,4.32,12.00,14.00
6.87,3.01,10.00,14.00
5.36,5.65,12.00,14.00
7.11,3.86,11.00,14.00
5.86,33.38,40.00,14.00
8.15,4.58,13.00,14.00
5.63,9.56,16.00,14.00
6.22,10.61,17.00,14.00
12.97,4.81,18.00,14.00
6.06,3.52,10.00,14.00
6.38,8.82,16.00,14.00
5.45,6.02,12.00,14.00
6.70,17.77,25.00,14.00
7.79,7.65,16.00,14.00
7.69,20.10,28.00,14.00
6.18,13.48,20.00,14.00
9.27,12.51,22.00,14.00
8.39,16.78,26.00,14.00
8.08,2.47,11.00,14.00
7.85,2.56,11.00,14.00
4.34,15.54,20.00,14.00
5.25,9.46,15.00,14.00
5.87,12.89,19.00,14.00
7.38,6.68,15.00,14.00
5.41,15.85,22.00,14.00
5.90,3.40,10.00,14.00
5.98,7.69,14.00,14.00
12.57,12.73,26.00,14.00
14.59,20.42,36.00,14.00
4.96,12.88,18.00,14.00
4.82,17.96,23.00,14.00
5.41,3.62,10.00,14.00
11.45,2.53,14.00,14.00
6.84,10.78,18.00,14.00
8.26,3.55,12.00,14.00
6.00,3.36,10.00,14.00
5.51,17.90,24.00,14.00
6.34,4.16,11.00,14.00
7.58,14.53,23.00,14.00
5.43,10.87,17.00,14.00
6.33,17.89,25.00,14.00
5.19,2.66,8.00,14.00
